,device_branch,device_province,device_name,device_ip,device_serial_number,start_ma_date,end_ma_date,start_license_date,end_license_date,end_sw_support_date,end_hw_support_date,start_used_date,user_created
775,VietHai,VietHai,10.39.90.74,10.39.90.74,FOC1448Y2SA,None,None,None,None,2015-10-31,2019-10-31,None,admin
776,VietHai,VietHai,10.39.90.81,10.39.90.81,FCQ1537Y0BX,None,None,None,None,2015-10-31,2019-10-31,None,admin
777,VietHai,VietHai,10.39.90.103,10.39.90.103,FOC1810S1F3,None,None,None,None,2016-05-11,2020-11-30,None,admin
778,VietHai,VietHai,10.39.90.99,10.39.90.99,FOC26284LWA,None,None,None,None,None,None,None,admin
779,VietHai,VietHai,10.39.90.98,10.39.90.98,FOC1837W4WV,None,None,None,None,2016-05-11,2020-11-30,None,admin
780,VietHai,VietHai,10.39.90.95,10.39.90.95,FOC26284KS7,None,2025-09-26,None,None,None,None,None,admin
781,VietHai,VietHai,10.39.90.93,10.39.90.93,FOC26284LJ5,None,2025-09-26,None,None,None,None,None,admin
782,VietHai,VietHai,10.39.90.92,10.39.90.92,FOC26284LKV,None,2025-09-26,None,None,None,None,None,admin
783,VietHai,VietHai,10.39.90.97,10.39.90.97,FOC26284LMR,None,2025-09-26,None,None,None,None,None,admin
784,VietHai,VietHai,10.39.90.96,10.39.90.96,FOC26284M4T,None,2025-09-26,None,None,None,None,None,admin
785,VietHai,VietHai,10.39.90.100,10.39.90.100,FOC26284LW4,None,2025-09-26,None,None,None,None,None,admin
786,VietHai,VietHai,10.39.90.101,10.39.90.101,FOC26284LM1,None,2025-09-26,None,None,None,None,None,admin
787,VietHai,VietHai,10.39.90.102,10.39.90.102,FOC26284LK5,None,2025-09-26,None,None,None,None,None,admin
788,VietHai,VietHai,10.39.90.94,10.39.90.94,FOC2126Z3H5,None,2025-09-26,None,None,2025-04-30,2029-04-30,None,admin
789,VietHai,VietHai,10.39.90.104,10.39.90.104,FOC26284M0Z,None,2025-09-26,None,None,None,None,None,admin
790,VietHai,VietHai,10.39.90.115,10.39.90.115,FOC26284LVU,None,2025-09-26,None,None,None,None,None,admin
791,VietHai,VietHai,10.39.90.109,10.39.90.109,FOC26284LDM,None,2025-09-26,None,None,None,None,None,admin
792,VietHai,VietHai,10.39.90.113,10.39.90.113,FOC26284LKS,None,2025-09-26,None,None,None,None,None,admin
793,VietHai,VietHai,10.39.90.112,10.39.90.112,FOC26284LAP,None,2025-09-26,None,None,None,None,None,admin
794,VietHai,VietHai,10.39.90.111,10.39.90.111,FOC26284LL0,None,2025-09-26,None,None,None,None,None,admin
795,VietHai,VietHai,10.39.90.114,10.39.90.114,FOC26284LJR,None,2025-09-26,None,None,None,None,None,admin
796,VietHai,VietHai,10.39.90.107,10.39.90.107,FOC26284M51,None,2025-09-26,None,None,None,None,None,admin
797,VietHai,VietHai,10.39.90.106,10.39.90.106,FOC26284LD7,None,2025-09-26,None,None,None,None,None,admin
798,VietHai,VietHai,10.39.90.105,10.39.90.105,FOC26284LDV,None,2025-09-26,None,None,None,None,None,admin
799,VietHai,VietHai,10.39.90.108,10.39.90.108,FOC26284M10,None,2025-09-26,None,None,None,None,None,admin
800,VietHai,VietHai,10.39.90.110,10.39.90.110,FOC2126Z3HJ,None,2025-09-26,None,None,2025-04-30,2029-04-30,None,admin
801,VietHai,VietHai,10.39.10.86,10.39.10.86,KWC211902UF,None,None,None,None,2023-05-01,2027-04-30,None,admin
802,VietHai,VietHai,10.39.10.87,10.39.10.87,KWC211902G1,None,None,None,None,2023-05-01,2027-04-30,None,admin
803,VietHai,VietHai,10.39.10.88,10.39.10.88,KWC211902RJ,None,None,None,None,2023-05-01,2027-04-30,None,admin
804,VietHai,VietHai,10.39.10.89,10.39.10.89,KWC211902TB,None,None,None,None,2023-05-01,2027-04-30,None,admin
805,VietHai,VietHai,10.39.10.77,10.39.10.77,KWC211902OY,None,None,None,None,2023-05-01,2027-04-30,None,admin
806,VietHai,VietHai,10.39.10.75,10.39.10.75,KWC211902TV,None,None,None,None,2023-05-01,2027-04-30,None,admin
807,VietHai,VietHai,10.39.10.78,10.39.10.78,KWC211902LX,None,None,None,None,2023-05-01,2027-04-30,None,admin
808,VietHai,VietHai,10.39.10.98,10.39.10.98,KWC211901AQ,None,None,None,None,2023-05-01,2027-04-30,None,admin
809,VietHai,VietHai,10.39.10.93,10.39.10.93,KWC211902UB,None,None,None,None,2023-05-01,2027-04-30,None,admin
810,VietHai,VietHai,10.39.10.97,10.39.10.97,KWC211902UM,None,None,None,None,2023-05-01,2027-04-30,None,admin
811,VietHai,VietHai,10.39.10.99,10.39.10.99,KWC211902FL,None,None,None,None,2023-05-01,2027-04-30,None,admin
812,VietHai,VietHai,10.39.10.105,10.39.10.105,KWC211902HF,None,None,None,None,2023-05-01,2027-04-30,None,admin
813,VietHai,VietHai,10.39.10.112,10.39.10.112,KWC211902NQ,None,None,None,None,2023-05-01,2027-04-30,None,admin
814,VietHai,VietHai,10.39.10.113,10.39.10.113,KWC211902H6,None,None,None,None,2023-05-01,2027-04-30,None,admin
815,VietHai,VietHai,10.39.10.114,10.39.10.114,KWC2119025H,None,None,None,None,2023-05-01,2027-04-30,None,admin
816,VietHai,VietHai,10.39.10.115,10.39.10.115,KWC211902N9,None,None,None,None,2023-05-01,2027-04-30,None,admin
817,VietHai,VietHai,10.39.10.116,10.39.10.116,KWC211902OE,None,None,None,None,2023-05-01,2027-04-30,None,admin
818,VietHai,VietHai,10.39.10.118,10.39.10.118,KWC211902U3,None,None,None,None,2023-05-01,2027-04-30,None,admin
819,VietHai,VietHai,10.39.10.106,10.39.10.106,KWC211901AG,None,None,None,None,2023-05-01,2027-04-30,None,admin
820,VietHai,VietHai,10.39.10.108,10.39.10.108,KWC211901EH,None,None,None,None,2023-05-01,2027-04-30,None,admin
821,VietHai,VietHai,10.39.10.95,10.39.10.95,KWC211902CQ,None,None,None,None,2023-05-01,2027-04-30,None,admin
822,VietHai,VietHai,10.39.10.110,10.39.10.110,KWC211901EM,None,None,None,None,2023-05-01,2027-04-30,None,admin
823,VietHai,VietHai,10.39.10.111,10.39.10.111,KWC211902TL,None,None,None,None,2023-05-01,2027-04-30,None,admin
824,VietHai,VietHai,10.39.10.230,10.39.10.230,KWC211902TR,None,None,None,None,2023-05-01,2027-04-30,None,admin
825,VietHai,VietHai,10.39.10.231,10.39.10.231,KWC211902FJ,None,None,None,None,2023-05-01,2027-04-30,None,admin
826,VietHai,VietHai,10.39.10.232,10.39.10.232,KWC211902H3,None,None,None,None,2023-05-01,2027-04-30,None,admin
827,VietHai,VietHai,10.39.10.117,10.39.10.117,KWC211901CN,None,None,None,None,2023-05-01,2027-04-30,None,admin
828,VietA,VietA,10.39.65.20,10.39.65.20,FOC1814Z1ZA,None,None,None,None,2016-11-05,2020-11-30,None,admin
829,VietA,VietA,10.39.65.12,10.39.65.12,FOC1814Y01L,None,None,None,None,2015-10-31,2019-10-31,None,admin
830,VietA,VietA,10.39.65.149,10.39.65.149,FCQ1744Y62W,None,None,None,None,2015-10-31,2019-10-31,None,admin
831,VietA,VietA,10.39.65.10,10.39.65.10,FOC1814V0JW,None,None,None,None,2015-10-31,2019-10-31,None,admin
832,VietA,VietA,10.39.65.9,10.39.65.9,FCQ1750X3G9,None,None,None,None,2015-10-31,2019-10-31,None,admin
833,VietA,VietA,10.39.65.152,10.39.65.152,FCQ1750X3F7,None,None,None,None,2015-10-31,2019-10-31,None,admin
834,VietA,VietA,10.39.65.7,10.39.65.7,FOC1814V0JS,None,None,None,None,2015-10-31,2019-10-31,None,admin
835,VietA,VietA,10.39.65.6,10.39.65.6,FCQ1750X3BH,None,None,None,None,2015-10-31,2019-10-31,None,admin
836,VietA,VietA,10.39.65.5,10.39.65.5,FCW2051A3E0,None,None,None,None,2015-10-31,2019-10-31,None,admin
837,VietA,VietA,10.39.65.4,10.39.65.4,FCQ1750X3CP,None,None,None,None,2015-10-31,2019-10-31,None,admin
838,VietA,VietA,10.39.65.14,10.39.65.14,FOC1814V0J6,None,None,None,None,2015-10-31,2019-10-31,None,admin
839,VietA,VietA,10.39.65.151,10.39.65.151,FCW1911A4DC,None,None,None,None,2015-10-31,2019-10-31,None,admin
840,VietA,VietA,10.39.65.3,10.39.65.3,FOC1814W1QJ,None,None,None,None,2016-11-05,2020-11-30,None,admin
841,VietA,VietA,10.39.65.8,10.39.65.8,FOC1810S1FH,None,None,None,None,2016-11-05,2020-11-30,None,admin
842,VietA,VietA,10.39.65.16,10.39.65.16,FCW1749A26T,None,None,None,None,2015-10-31,2019-10-31,None,admin
843,VietA,VietA,10.39.65.13,10.39.65.13,FOC1814Z1Z6,None,None,None,None,2016-11-05,2020-11-30,None,admin
844,VietA,VietA,10.39.65.148,10.39.65.148,FCQ1738X2ML,None,None,None,None,2015-10-31,2019-10-31,None,admin
845,VietA,VietA,10.39.65.17,10.39.65.17,FOC2221T002,None,None,None,None,2003-10-31,2027-10-31,None,admin
846,VietA,VietA,10.39.65.18,10.39.65.18,FOC2220T6X7,None,None,None,None,2003-10-31,2027-10-31,None,admin
847,VietA,VietA,10.39.65.30,10.39.65.30,FOC1814Y00R,None,None,None,None,2015-10-31,2019-10-31,None,admin
848,VietA,VietA,10.39.65.29,10.39.65.29,FOC1814Y00K,None,None,None,None,2015-10-31,2019-10-31,None,admin
849,VietA,VietA,10.39.65.28,10.39.65.28,FOC1814Y03N,None,None,None,None,2015-10-31,2019-10-31,None,admin
850,VietA,VietA,10.39.65.27,10.39.65.27,FOC1813Y4UJ,None,None,None,None,2015-10-31,2019-10-31,None,admin
851,VietA,VietA,10.39.65.26,10.39.65.26,FCQ1750X3GE,None,None,None,None,2015-10-31,2019-10-31,None,admin
852,VietA,VietA,10.39.65.25,10.39.65.25,FCQ1750X3FB,None,None,None,None,2015-10-31,2019-10-31,None,admin
853,VietA,VietA,10.39.65.24,10.39.65.24,FOC1814Y00A,None,None,None,None,2015-10-31,2019-10-31,None,admin
854,VietA,VietA,10.39.65.23,10.39.65.23,FOC1814Y01D,None,None,None,None,2015-10-31,2019-10-31,None,admin
855,VietA,VietA,10.39.65.22,10.39.65.22,FOC1813Y4S4,None,None,None,None,2015-10-31,2019-10-31,None,admin
856,VietA,VietA,10.39.65.21,10.39.65.21,FCQ1750X3FJ,None,None,None,None,2015-10-31,2019-10-31,None,admin
857,VietA,VietA,10.39.65.37,10.39.65.37,FOC2202T3A6,None,None,None,None,2003-10-31,2027-10-31,None,admin
858,VietA,VietA,10.39.65.38,10.39.65.38,FCW2202B24T,None,None,None,None,2003-10-31,2027-10-31,None,admin
859,VietA,VietA,10.39.65.41,10.39.65.41,FCW2202B1X1,None,None,None,None,2003-10-31,2027-10-31,None,admin
860,VietA,VietA,10.39.65.39,10.39.65.39,FCW2202B1XN,None,None,None,None,2003-10-31,2027-10-31,None,admin
861,VietA,VietA,10.39.65.40,10.39.65.40,FOC2202T3DE,None,None,None,None,2003-10-31,2027-10-31,None,admin
862,VietA,VietA,10.39.65.35,10.39.65.35,FOC1822Y1FK,None,None,None,None,2015-10-31,2019-10-31,None,admin
863,VietA,VietA,10.39.65.31,10.39.65.31,FCQ1750X3C3,None,None,None,None,2015-10-31,2019-10-31,None,admin
864,VietA,VietA,10.39.65.34,10.39.65.34,FOC1949Z41Z,None,None,None,None,2015-10-31,2019-10-31,None,admin
865,VietA,VietA,10.39.65.15,10.39.65.15,FOC1814V0L4,None,None,None,None,2015-10-31,2019-10-31,None,admin
866,VietA,VietA,10.39.65.36,10.39.65.36,FOC2202T3GF,None,None,None,None,2003-10-31,2027-10-31,None,admin
867,HOMN,HOMN,10.100.180.12,10.100.180.12,FGL2604LUV7,2023-04-15,2026-04-16,None,None,2025-08-31,2028-11-30,None,admin
868,HOMN,HOMN,10.100.180.13,10.100.180.13,FGL2604LUZ6,2023-04-15,2026-04-16,None,None,2025-08-31,2028-11-30,None,admin
869,HOMN,HOMN,10.100.180.21,10.100.180.21,FG1915103J,None,None,None,None,2020-09-12,2022-12-31,None,admin
870,HOMN,HOMN,10.100.180.10,10.100.180.10,2141BA0967,2023-04-15,2026-04-16,None,None,2025-07-31,2025-12-31,None,admin
871,HOMN,HOMN,10.100.180.11,10.100.180.11,2141BA0963,2023-04-15,2026-04-16,None,None,2025-07-31,2025-12-31,None,admin
872,HOMN,HOMN,10.100.176.45,10.100.176.45,JAE26271TSU,2023-04-15,2026-04-16,None,None,None,None,None,admin
873,HOMN,HOMN,10.100.176.209,10.100.176.209,FOC26313UWB,2023-04-15,2026-04-16,None,None,None,None,None,admin
874,HOMN,HOMN,10.100.176.210,10.100.176.210,FDO1826P07E,None,None,None,None,None,2021-10-31,None,admin
875,HOMN,HOMN,10.100.176.41,10.100.176.41,JAE26271UHQ,2023-04-15,2026-04-16,None,None,None,None,None,admin
876,HOMN,HOMN,10.100.176.47,10.100.176.47,JAE26271UKA,2023-04-15,2026-04-16,None,None,None,None,None,admin
877,HOMN,HOMN,10.100.176.67,10.100.176.67,JAE26271U7N,2023-04-15,2026-04-16,None,None,None,None,None,admin
